question_id,answer,is_right
1,accursed,0
1,boulevard,0
1,crafty,1
1,pistol,1
2,accursed,0
2,boulevard,0
2,crafty,1
2,pistol,1
3,accursed,0
3,boulevard,0
3,crafty,1
3,pistol,1
4,accursed,0
4,boulevard,0
4,crafty,1
4,pistol,1
5,null,null
6,abasia,0
6,doubled,0
6,binate,0
6,dish,1
7,abasia,0
7,doubled,0
7,binate,0
7,dish,1
8,abasia,0
8,doubled,0
8,binate,0
8,dish,1
9,abasia,0
9,doubled,0
9,binate,0
9,dish,1
10,null,null
11,gruel-like,0
11,porridge,0
11,kasha,1
11,dark,1
12,gruel-like,0
12,porridge,0
12,kasha,1
12,dark,1
13,gruel-like,0
13,porridge,0
13,kasha,1
13,dark,1
14,gruel-like,0
14,porridge,0
14,kasha,1
14,dark,1
15,null,null
16,dark,0
16,topaz,0
16,washeteria,0
16,julep,1
17,dark,0
17,topaz,0
17,washeteria,0
17,julep,1
18,dark,0
18,topaz,0
18,washeteria,0
18,julep,1
19,dark,0
19,topaz,0
19,washeteria,0
19,julep,1
20,null,null
21,procellous,0
21,buss,0
21,accoucheur,1
21,zoonosology,1
22,procellous,0
22,buss,0
22,accoucheur,1
22,zoonosology,1
23,procellous,0
23,buss,0
23,accoucheur,1
23,zoonosology,1
24,procellous,0
24,buss,0
24,accoucheur,1
24,zoonosology,1
25,null,null
26,zugzwang,0
26,vendange,0
26,polystachious,0
26,gentilitian,1
27,zugzwang,0
27,vendange,0
27,polystachious,0
27,gentilitian,1
28,zugzwang,0
28,vendange,0
28,polystachious,0
28,gentilitian,1
29,zugzwang,0
29,vendange,0
29,polystachious,0
29,gentilitian,1
30,null,null
31,gaposis,0
31,viaggiatory,0
31,quena,1
31,groundsel,1
32,gaposis,0
32,viaggiatory,0
32,quena,1
32,groundsel,1
33,gaposis,0
33,viaggiatory,0
33,quena,1
33,groundsel,1
34,gaposis,0
34,viaggiatory,0
34,quena,1
34,groundsel,1
35,null,null
36,logia,0
36,vamplate,1
36,psychognosy,1
36,irrefragable,1
37,logia,0
37,vamplate,1
37,psychognosy,1
37,irrefragable,1
38,logia,0
38,vamplate,1
38,psychognosy,1
38,irrefragable,1
39,logia,0
39,vamplate,1
39,psychognosy,1
39,irrefragable,1
40,null,null

41,accursed,0
41,boulevard,0
41,crafty,1
41,pistol,1
42,accursed,0
42,boulevard,0
42,crafty,1
42,pistol,1
43,accursed,0
43,boulevard,0
43,crafty,1
43,pistol,1
44,accursed,0
44,boulevard,0
44,crafty,1
44,pistol,1
45,null,null
46,abasia,0
46,doubled,0
46,binate,0
46,dish,1
47,abasia,0
47,doubled,0
47,binate,0
47,dish,1
48,abasia,0
48,doubled,0
48,binate,0
48,dish,1
49,abasia,0
49,doubled,0
49,binate,0
49,dish,1
50,null,null
51,gruel-like,0
51,porridge,0
51,kasha,1
51,dark,1
52,gruel-like,0
52,porridge,0
52,kasha,1
52,dark,1
53,gruel-like,0
53,porridge,0
53,kasha,1
53,dark,1
